Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2024-01-27 00:00:00.0;25.75902;62;1015.771;25.96753
2024-01-28 00:00:00.0;25.29792;68;1013.849;25.98936
2024-01-29 00:00:00.0;26.62362;68;1012.331;19.30638
2024-01-30 00:00:00.0;28.62361;60;1010.858;23.68362
2024-01-31 00:00:00.0;28.65625;63;1011.443;21.96732
2024-02-01 00:00:00.0;30.38264;56;1014.151;22.2588
2024-02-02 00:00:00.0;31.36875;45;1013.22;25.77174
2024-02-03 00:00:00.0;30.54375;49;1010.455;20.49084
2024-02-04 00:00:00.0;23.24931;62;1015.201;22.16694
2024-02-05 00:00:00.0;26.00903;67;1012.808;21.9678
2024-02-06 00:00:00.0;28.70972;70;1012.442;13.93386
2024-02-07 00:00:00.0;29.43542;67;1009.557;13.57337
2024-02-08 00:00:00.0;28.42987;73;1009.145;11.36088
2024-02-09 00:00:00.0;25.63542;90;1010.007;6.437221
2024-02-10 00:00:00.0;26.56112;87;1008.389;12.27192
2024-02-11 00:00:00.0;27.34305;75;1009.303;23.11008
2024-02-12 00:00:00.0;24.26806;84;1009.414;5.506979
2024-02-13 00:00:00.0;18.47292;62;1020.706;24.63906
2024-02-14 00:00:00.0;20.14096;68;1019.658;21.91812
2024-02-15 00:00:00.0;23.21527;67;1016.56;19.55388
2024-02-16 00:00:00.0;23.88889;72;1014.367;18.85494
2024-02-17 00:00:00.0;25.80625;67;1013.151;21.1047
2024-02-18 00:00:00.0;25.84653;80;1012.595;10.7547
2024-02-19 00:00:00.0;24.9625;76;1011.071;21.43506
2024-02-20 00:00:00.0;25.67917;76;1009.678;18.69318
2024-02-21 00:00:00.0;26.7625;70;1008.773;20.61144
2024-02-22 00:00:00.0;27.44861;66;1006.109;19.06896
2024-02-23 00:00:00.0;24.4007;75;1011.977;11.2809
2024-02-24 00:00:00.0;23.5493;73;1020.754;19.8618
2024-02-25 00:00:00.0;22.47431;71;1021.197;14.7159
2024-02-26 00:00:00.0;22.95001;90;1013.945;6.3312
2024-02-27 00:00:00.0;24.74861;83;1010.234;16.779
2024-02-28 00:00:00.0;25.5375;76;1010.724;20.6667
2024-02-29 00:00:00.0;24.71736;82;1013.517;11.68656
2024-03-01 00:00:00.0;23.8507;83;1012.813;10.56306
2024-03-02 00:00:00.0;25.47847;83;1007.714;6.536101
2024-03-03 00:00:00.0;21.82361;45;1016.315;22.08708
2024-03-04 00:00:00.0;19.36527;62;1016.959;20.2923
2024-03-05 00:00:00.0;19.58403;60;1017.679;21.03036
2024-03-06 00:00:00.0;19.19306;70;1014.427;20.30652
2024-03-07 00:00:00.0;22.43264;61;1012.802;20.01517
2024-03-08 00:00:00.0;24.98542;69;1008.367;16.24458
2024-03-09 00:00:00.0;25.17431;75;1008.374;19.07922
2024-03-10 00:00:00.0;23.5125;66;1012.567;12.04392
2024-03-11 00:00:00.0;23.22015;87;1011.37;4.996081
